"DS2IVK.Code.or.Value","DS2IVK.Value.Description","DS2IVK.Count","DS2IVK.Cumulative","DS2IVK.Skip.to.Item"
"0.825 to 800","Range of Values",1133,1133,NA
".","Missing",4770,5903,NA
