"SSPV2.Code.or.Value","SSPV2.Value.Description","SSPV2.Count","SSPV2.Cumulative","SSPV2.Skip.to.Item"
"2.5 to 10.5","Range of Values",4254,4254,NA
".","Missing",0,4254,NA
