"BIXC159K.Code.or.Value","BIXC159K.Value.Description","BIXC159K.Count","BIXC159K.Cumulative","BIXC159K.Skip.to.Item"
"8.22 to 148.25","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
