"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4589,4589,NA
"1","afternoon",3471,8060,NA
"2","evening",1775,9835,NA
".","Missing",0,9835,NA
