"DR2IVB12.Code.or.Value","DR2IVB12.Value.Description","DR2IVB12.Count","DR2IVB12.Cumulative","DR2IVB12.Skip.to.Item"
"0 to 240.19","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
