"RFXC003.Code.or.Value","RFXC003.Value.Description","RFXC003.Count","RFXC003.Cumulative","RFXC003.Skip.to.Item"
"-1.658 to 1.289","Range of Values",51076,51076,NA
".","Missing",0,51076,NA
