"MCQ300C.Code.or.Value","MCQ300C.Value.Description","MCQ300C.Count","MCQ300C.Cumulative","MCQ300C.Skip.to.Item"
"1","Yes",2403,2403,NA
"2","No",3399,5802,NA
"7","Refused",1,5803,NA
"9","Don't know",132,5935,NA
".","Missing",3731,9666,NA
