"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"13 to 3061","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
