"DXDTOA.Code.or.Value","DXDTOA.Value.Description","DXDTOA.Count","DXDTOA.Cumulative","DXDTOA.Skip.to.Item"
"1054.56 to 2851.27","Range of Values",4524,4524,NA
".","Missing",1168,5692,NA
