"LBXMPSI.Code.or.Value","LBXMPSI.Value.Description","LBXMPSI.Count","LBXMPSI.Cumulative","LBXMPSI.Skip.to.Item"
"5.6 to 15.1","Range of Values",8117,8117,NA
".","Missing",1048,9165,NA
