"DR2IVC.Code.or.Value","DR2IVC.Value.Description","DR2IVC.Count","DR2IVC.Cumulative","DR2IVC.Skip.to.Item"
"0 to 3256","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
