"DS2ICHL.Code.or.Value","DS2ICHL.Value.Description","DS2ICHL.Count","DS2ICHL.Cumulative","DS2ICHL.Skip.to.Item"
"0.00495 to 250","Range of Values",520,520,NA
".","Missing",5383,5903,NA
