"URXUMMA.Code.or.Value","URXUMMA.Value.Description","URXUMMA.Count","URXUMMA.Cumulative","URXUMMA.Skip.to.Item"
"0.64 to 54.2","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
