"DR1IMAGN.Code.or.Value","DR1IMAGN.Value.Description","DR1IMAGN.Count","DR1IMAGN.Cumulative","DR1IMAGN.Skip.to.Item"
"0 to 1447","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
