"AUXR4KL.Code.or.Value","AUXR4KL.Value.Description","AUXR4KL.Count","AUXR4KL.Cumulative","AUXR4KL.Skip.to.Item"
"35 to 110","Range of Values",13,13,NA
"666","No response",0,13,NA
"888","Could not obtain",0,13,NA
".","Missing",1876,1889,NA
