"DXASPNK.Code.or.Value","DXASPNK.Value.Description","DXASPNK.Count","DXASPNK.Cumulative","DXASPNK.Skip.to.Item"
"1.1119 to 1.1628","Range of Values",2463,2463,NA
".","Missing",435,2898,NA
