"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0 to 127.574","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
