"DS2TLZ.Code.or.Value","DS2TLZ.Value.Description","DS2TLZ.Count","DS2TLZ.Cumulative","DS2TLZ.Skip.to.Item"
"5 to 24000","Range of Values",512,512,NA
".","Missing",9301,9813,NA
