"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"9 to 84","Range of Values",1235,1235,NA
"85","85 years or older",1,1236,NA
"777","Refused",1,1237,NA
"999","Don't know",6,1243,NA
".","Missing",3798,5041,NA
