"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"13 to 75","Range of Values",6847,6847,NA
".","Missing",522,7369,NA
