"LBCTCD.Code.or.Value","LBCTCD.Value.Description","LBCTCD.Count","LBCTCD.Cumulative","LBCTCD.Skip.to.Item"
"1.11 to 41.4","Range of Values",247,247,NA
".","Missing",17,264,NA
