"MIAPROXY.Code.or.Value","MIAPROXY.Value.Description","MIAPROXY.Count","MIAPROXY.Cumulative","MIAPROXY.Skip.to.Item"
"1","Yes",48,48,NA
"2","No",7098,7146,NA
".","Missing",3003,10149,NA
