"DID060.Code.or.Value","DID060.Value.Description","DID060.Count","DID060.Cumulative","DID060.Skip.to.Item"
"1 to 46","Range of Values",217,217,NA
"666","Less than 1 month",2,219,NA
"777","Refused",0,219,NA
"999","Don't know",1,220,NA
".","Missing",9550,9770,NA
