"BMAULEXT.Code.or.Value","BMAULEXT.Value.Description","BMAULEXT.Count","BMAULEXT.Cumulative","BMAULEXT.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",3,3,NA
"9","Could not obtain",0,3,NA
".","Missing",9279,9282,NA
