"WHD220.Code.or.Value","WHD220.Value.Description","WHD220.Count","WHD220.Cumulative","WHD220.Skip.to.Item"
"0 to 265","Range of Values",3603,3603,NA
"77777","Refused",0,3603,NA
"99999","Don't know",37,3640,NA
".","Missing",2906,6546,NA
