"RHQ291.Code.or.Value","RHQ291.Value.Description","RHQ291.Count","RHQ291.Cumulative","RHQ291.Skip.to.Item"
"21 to 59","Range of Values",510,510,NA
"19","19 years or under",3,513,NA
"60","60 years or older",39,552,NA
"777","Refused",0,552,NA
"999","Don't know",5,557,NA
".","Missing",2914,3471,NA
