"MCQ160K.Code.or.Value","MCQ160K.Value.Description","MCQ160K.Count","MCQ160K.Cumulative","MCQ160K.Skip.to.Item"
"1","Yes",291,291,"MCQ170K"
"2","No",5103,5394,""
"7","Refused",0,5394,""
"9","Don't know",16,5410,""
".","Missing",5060,10470,""
