"DR2TSUGR.Code.or.Value","DR2TSUGR.Value.Description","DR2TSUGR.Count","DR2TSUGR.Cumulative","DR2TSUGR.Skip.to.Item"
"0 to 952.98","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
