"DR2TS100.Code.or.Value","DR2TS100.Value.Description","DR2TS100.Count","DR2TS100.Cumulative","DR2TS100.Skip.to.Item"
"0 to 10.856","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
