"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.2 to 270","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
