"DXXANFM.Code.or.Value","DXXANFM.Value.Description","DXXANFM.Count","DXXANFM.Cumulative","DXXANFM.Skip.to.Item"
"118.1 to 10450.3","Range of Values",5090,5090,NA
".","Missing",690,5780,NA
