"PFQ048.Code.or.Value","PFQ048.Value.Description","PFQ048.Count","PFQ048.Cumulative","PFQ048.Skip.to.Item"
"1","Yes",596,596,""
"2","No",4280,4876,"PFQ056"
"7","Refused",0,4876,"PFQ056"
"9","Don't know",2,4878,"PFQ056"
".","Missing",4615,9493,""
