"URXCOXT.Code.or.Value","URXCOXT.Value.Description","URXCOXT.Count","URXCOXT.Cumulative","URXCOXT.Skip.to.Item"
"1.43 to 3280","Range of Values",615,615,NA
".","Missing",2140,2755,NA
