"URXCRS.Code.or.Value","URXCRS.Value.Description","URXCRS.Count","URXCRS.Cumulative","URXCRS.Skip.to.Item"
"265.2 to 66211.6","Range of Values",8398,8398,NA
".","Missing",193,8591,NA
