"RHQ541A.Code.or.Value","RHQ541A.Value.Description","RHQ541A.Count","RHQ541A.Cumulative","RHQ541A.Skip.to.Item"
"10","Pills",481,481,NA
"77","Refused",0,481,NA
"99","Don't know",1,482,NA
".","Missing",3035,3517,NA
