"BPD130.Code.or.Value","BPD130.Value.Description","BPD130.Count","BPD130.Cumulative","BPD130.Skip.to.Item"
"1","Yes",215,215,NA
"2","No",434,649,NA
"7","Refused",0,649,NA
"9","Don't know",1,650,NA
".","Missing",5984,6634,NA
