"LBXCD4.Code.or.Value","LBXCD4.Value.Description","LBXCD4.Count","LBXCD4.Cumulative","LBXCD4.Skip.to.Item"
"5 to 1640","Range of Values",41,41,NA
".","Missing",2779,2820,NA
