"LBXVCT.Code.or.Value","LBXVCT.Value.Description","LBXVCT.Count","LBXVCT.Cumulative","LBXVCT.Skip.to.Item"
"0.0035 to 0.008","Range of Values",2979,2979,NA
".","Missing",566,3545,NA
