"DBD935.Code.or.Value","DBD935.Value.Description","DBD935.Count","DBD935.Cumulative","DBD935.Skip.to.Item"
"1","Yes",1194,1194,NA
"2","No",1256,2450,NA
"7","Refused",0,2450,NA
"9","Don't know",0,2450,NA
".","Missing",495,2945,NA
