"DR2ISELE.Code.or.Value","DR2ISELE.Value.Description","DR2ISELE.Count","DR2ISELE.Cumulative","DR2ISELE.Skip.to.Item"
"0 to 580.5","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
