"MPQ120I.Code.or.Value","MPQ120I.Value.Description","MPQ120I.Count","MPQ120I.Cumulative","MPQ120I.Skip.to.Item"
"18","Lower arm - right",71,71,NA
".","Missing",4970,5041,NA
