"URXOTD.Code.or.Value","URXOTD.Value.Description","URXOTD.Count","URXOTD.Cumulative","URXOTD.Skip.to.Item"
"78.64 to 16600","Range of Values",2281,2281,NA
".","Missing",324,2605,NA
