"DR2IS120.Code.or.Value","DR2IS120.Value.Description","DR2IS120.Count","DR2IS120.Cumulative","DR2IS120.Skip.to.Item"
"0 to 16.103","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
