"DUQ210.Code.or.Value","DUQ210.Value.Description","DUQ210.Count","DUQ210.Cumulative","DUQ210.Skip.to.Item"
"1 to 51","Range of Values",1808,1808,NA
"77","Refused",2,1810,NA
"99","Don't know",1,1811,NA
".","Missing",2814,4625,NA
