"URDTLCLC.Code.or.Value","URDTLCLC.Value.Description","URDTLCLC.Count","URDTLCLC.Cumulative","URDTLCLC.Skip.to.Item"
"0","At or above the detection limit",902,902,NA
"1","Below lower detection limit",1749,2651,NA
".","Missing",152,2803,NA
