"DR2ICOPP.Code.or.Value","DR2ICOPP.Value.Description","DR2ICOPP.Count","DR2ICOPP.Cumulative","DR2ICOPP.Skip.to.Item"
"0 to 33.746","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
