"DS1IMFAT.Code.or.Value","DS1IMFAT.Value.Description","DS1IMFAT.Count","DS1IMFAT.Cumulative","DS1IMFAT.Skip.to.Item"
"0.033 to 6","Range of Values",53,53,NA
".","Missing",5317,5370,NA
