"URDMC1LC.Code.or.Value","URDMC1LC.Value.Description","URDMC1LC.Count","URDMC1LC.Cumulative","URDMC1LC.Skip.to.Item"
"0","At or above the detection limit",2542,2542,NA
"1","Below lower detection limit",62,2604,NA
".","Missing",114,2718,NA
