"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"8.4 to 92.8","Range of Values",7523,7523,NA
".","Missing",843,8366,NA
