"OPDDMA.Code.or.Value","OPDDMA.Value.Description","OPDDMA.Count","OPDDMA.Cumulative","OPDDMA.Skip.to.Item"
"0","No",2181,2181,NA
"1","Yes",105,2286,NA
".","Missing",648,2934,NA
