"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"1 to 46","Range of Values",7605,7605,NA
".","Missing",1733,9338,NA
