"RFXT125.Code.or.Value","RFXT125.Value.Description","RFXT125.Count","RFXT125.Cumulative","RFXT125.Skip.to.Item"
"1088 to 1097","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
