"BAQ130.Code.or.Value","BAQ130.Value.Description","BAQ130.Count","BAQ130.Cumulative","BAQ130.Skip.to.Item"
"1","Yes",35,35,NA
"2","No",866,901,NA
".","Missing",110,1011,NA
