"MCQ260FB.Code.or.Value","MCQ260FB.Value.Description","MCQ260FB.Count","MCQ260FB.Cumulative","MCQ260FB.Skip.to.Item"
"2","Father",485,485,"MCQ250G"
".","Missing",9160,9645,""
