"BIDFAT.Code.or.Value","BIDFAT.Value.Description","BIDFAT.Count","BIDFAT.Cumulative","BIDFAT.Skip.to.Item"
"1.2 to 73.4","Range of Values",4504,4504,NA
".","Missing",1445,5949,NA
