"URXTRS.Code.or.Value","URXTRS.Value.Description","URXTRS.Count","URXTRS.Cumulative","URXTRS.Skip.to.Item"
"1.6 to 3000","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
