"AUXRR162.Code.or.Value","AUXRR162.Value.Description","AUXRR162.Count","AUXRR162.Cumulative","AUXRR162.Skip.to.Item"
"-12 to 71","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
