"DRXTS160.Code.or.Value","DRXTS160.Value.Description","DRXTS160.Count","DRXTS160.Cumulative","DRXTS160.Skip.to.Item"
"0 to 102.58","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
