"DRD370RQ.Code.or.Value","DRD370RQ.Value.Description","DRD370RQ.Count","DRD370RQ.Cumulative","DRD370RQ.Skip.to.Item"
"1 to 6","Range of Values",163,163,NA
".","Missing",9381,9544,NA
