"URDTCVLC.Code.or.Value","URDTCVLC.Value.Description","URDTCVLC.Count","URDTCVLC.Cumulative","URDTCVLC.Skip.to.Item"
"0","At or above the detection limit",4,4,NA
"1","Below lower detection limit",2236,2240,NA
".","Missing",109,2349,NA
