"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0 to 5.1","Range of Values",2161,2161,NA
"777","Refused",1,2162,NA
"888","Could not obtain",57,2219,NA
".","Missing",149,2368,NA
