"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",1863,1863,NA
"2","No",5968,7831,NA
".","Missing",2422,10253,NA
