"URXDHB.Code.or.Value","URXDHB.Value.Description","URXDHB.Count","URXDHB.Cumulative","URXDHB.Skip.to.Item"
"3.71 to 3280","Range of Values",2502,2502,NA
".","Missing",103,2605,NA
