"DR2TATOC.Code.or.Value","DR2TATOC.Value.Description","DR2TATOC.Count","DR2TATOC.Cumulative","DR2TATOC.Skip.to.Item"
"0 to 63.96","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
